"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.568608300E-2,-2.814598799E0,-1.202581882E0,9.755153656E-1
2.570008300E-2,-2.881875992E0,-1.200490475E0,9.781527519E-1
3.568608300E-2,-2.931411982E0,-1.208381176E0,9.960727692E-1
4.567908300E-2,-3.137077808E0,-7.739521027E0,4.490647793E0
5.567441600E-2,-3.079193592E0,-7.285500526E0,3.304440498E0
6.567091600E-2,-2.678894758E0,-6.949567318E0,2.271069527E0
7.566811600E-2,-2.198361158E0,-6.774827003E0,1.622532368E0
8.566811600E-2,-1.659960270E0,-6.642502785E0,1.395176888E0
9.566611600E-2,-1.408833504E0,-6.741600037E0,1.454122066E0
1.056643660E-1,-1.335713863E0,-6.756856441E0,1.999690056E0
1.156628100E-1,-1.277679920E0,-7.058617592E0,2.208745956E0
1.256614100E-1,-1.446406484E0,-6.567916870E0,2.714484692E0
1.356601370E-1,-1.300736189E0,-6.317961216E0,2.882787704E0
1.456589700E-1,-1.382892370E0,-6.675815582E0,2.629732609E0
1.556578930E-1,-1.318753481E0,-6.435065269E0,2.097350121E0
1.656568930E-1,-1.278741360E0,-6.212799072E0,1.237223625E0
1.756559590E-1,-1.407906651E0,-5.998010635E0,9.061422348E-1
1.856550840E-1,-1.435627937E0,-5.929979324E0,6.805810928E-1
1.956542600E-1,-1.337270498E0,-5.761569977E0,6.821985245E-1
2.056534820E-1,-1.570604205E0,-5.680349350E0,1.637315750E-1
2.156527450E-1,-1.983279228E0,-5.520687580E0,7.025918961E-1
2.256527450E-1,-2.322995663E0,-5.174852371E0,1.334684372E0
2.356520780E-1,-2.465092421E0,-4.874090195E0,1.625632763E0
2.456514410E-1,-2.090023279E0,-4.784020424E0,1.681597233E0
2.556508320E-1,-1.767801642E0,-4.656936646E0,1.583977222E0
2.656502480E-1,-1.382161379E0,-4.315690994E0,1.449658871E0
2.756496880E-1,-8.567928076E-1,-4.319021225E0,1.975575447E0
2.856491490E-1,-9.610580206E-1,-4.615835190E0,2.548619270E0
2.956486300E-1,-1.428032875E0,-4.828519821E0,3.622502327E0
3.056481300E-1,-1.908986092E0,-5.001407623E0,4.652226925E0
3.156476470E-1,-1.972255349E0,-5.071921825E0,5.351047993E0
3.256471800E-1,-2.148314238E0,-5.181761742E0,6.020774841E0
3.356476460E-1,-1.994451165E0,-4.953896523E0,6.362928867E0
3.456476460E-1,-1.710925221E0,-4.503149986E0,5.789520741E0
3.556476460E-1,-1.999836206E0,-4.221250057E0,5.086555958E0
3.656476460E-1,-2.017548084E0,-3.768934727E0,5.279682636E0
3.756476460E-1,-2.158454180E0,-3.583982944E0,6.057495594E0
3.856471790E-1,-2.281180859E0,-3.581355095E0,7.070335865E0
3.956471790E-1,-2.316901922E0,-3.811262608E0,8.101839066E0
4.056476450E-1,-2.943228722E0,-3.701825619E0,8.745271683E0
4.156476450E-1,-2.202869415E0,-3.446979046E0,8.270179749E0
4.256476450E-1,-1.311335087E0,-4.125693321E0,7.957816601E0
4.356476450E-1,-6.937897205E-1,-4.789479733E0,8.417081833E0
4.456476450E-1,-6.204679012E-1,-5.565811157E0,9.159429550E0
4.556476450E-1,-1.302889109E0,-6.673149109E0,9.501548767E0
4.656476450E-1,-1.898201585E0,-7.839430332E0,9.744358063E0
4.756481110E-1,-1.059550047E0,-8.313973427E0,9.243305206E0
4.856481110E-1,-6.479148865E-1,-8.408457756E0,7.963262081E0
4.956481110E-1,-2.729187012E-1,-8.391117096E0,6.676245689E0
5.056481110E-1,-4.119098186E-2,-8.029644012E0,6.192128181E0
5.156481110E-1,-2.538683414E-1,-7.792814255E0,5.828710556E0
5.256476440E-1,3.554487228E-1,-7.197592735E0,5.267575741E0
5.356469440E-1,9.601747990E-2,-6.872999668E0,4.340450764E0
5.456464770E-1,-1.029892802E0,-6.864470005E0,4.432518959E0
5.556462100E-1,-1.770149231E0,-6.621700764E0,3.452527523E0
5.656461430E-1,-1.686772108E0,-6.729725838E0,2.670925617E0
5.756460430E-1,-1.669670343E0,-6.932400227E0,2.188925266E0
5.856459090E-1,-1.554625750E0,-7.205165863E0,2.030080318E0
5.956457750E-1,-1.069330812E0,-7.337707520E0,2.337522030E0
6.056456080E-1,-7.112379074E-1,-7.385044098E0,2.821424007E0
6.156459410E-1,-5.565665960E-1,-7.272921085E0,2.825357437E0
6.256462740E-1,-1.562631130E-1,-7.212868690E0,2.716220856E0
