"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.337727000E0,6.500191170E1,2.548565740E1,1.213843972E1,NaN,NaN,7.770999908E1,1.150940514E1
4.408828459E0,6.500188628E1,2.548531051E1,8.267103138E0,1.541573048E0,2.488289185E2,1.200000000E1,1.579560947E1
5.415902189E0,6.500186605E1,2.548526145E1,8.582400961E0,1.340676308E0,2.456536713E2,2.400000000E1,2.310660362E1
6.415270496E0,6.500185543E1,2.548518489E1,9.314705612E0,1.133126497E0,2.269884186E2,1.200000000E1,1.181472206E1
7.411303303E0,6.500185895E1,2.548516757E1,9.917655051E0,1.628316998E0,2.337178497E2,1.200000000E1,1.305259037E1
8.426576533E0,6.500185159E1,2.548505996E1,1.377444328E1,1.265372515E0,2.136579742E2,8.000000000E0,9.694039345E0
9.412764994E0,6.500185044E1,2.548499700E1,2.054392130E1,1.102373362E0,2.271189575E2,6.000000000E0,3.241878510E0
1.044708315E1,6.500184211E1,2.548498291E1,2.069042641E1,1.318952203E0,2.386922607E2,1.600000000E1,1.401776409E1
1.144287211E1,6.500184572E1,2.548494557E1,1.989009765E1,1.401759386E0,2.525424500E2,6.000000000E0,9.298971176E0
1.242998461E1,6.500184661E1,2.548489950E1,1.578767155E1,0.000000000E0,NaN,8.000000000E0,8.743463516E0
1.342607692E1,6.500184732E1,2.548487359E1,1.549362444E1,0.000000000E0,NaN,8.000000000E0,7.743149281E0
1.452993364E1,6.500184092E1,2.548485995E1,1.445612176E1,0.000000000E0,NaN,8.000000000E0,7.062253475E0
1.560182653E1,6.500182748E1,2.548485496E1,1.312350298E1,0.000000000E0,NaN,8.000000000E0,6.462055206E0
1.660530195E1,6.500181281E1,2.548484388E1,1.232513156E1,0.000000000E0,NaN,6.000000000E0,6.049910545E0
1.762302299E1,6.500179795E1,2.548483516E1,1.174649693E1,1.125213742E0,2.488878021E2,6.000000000E0,5.786792755E0
1.860794845E1,6.500178887E1,2.548480582E1,1.252342546E1,1.308647037E0,2.564047546E2,6.000000000E0,5.452734947E0
1.964299910E1,6.500178088E1,2.548476485E1,1.274688124E1,1.452735305E0,2.539256897E2,6.000000000E0,5.188354492E0
2.063390018E1,6.500177525E1,2.548473753E1,1.265361803E1,1.347124457E0,2.538475342E2,6.000000000E0,4.990729332E0
2.163731141E1,6.500177091E1,2.548470731E1,1.261262994E1,1.384999156E0,2.550169678E2,6.000000000E0,4.823442459E0
